iteration best avg highestnumber
0 396.0 276.1333333333333 32
1 396.0 282.93333333333334 32
2 484.0 304.53333333333336 64
3 484.0 337.06666666666666 64
4 484.0 386.93333333333334 64
5 484.0 395.73333333333335 64
6 484.0 408.4 64
7 592.0 468.53333333333336 64
8 592.0 512.9333333333333 64
9 1320.0 547.3333333333334 128
10 1320.0 612.5333333333333 128
11 1724.0 799.6 128
12 1832.0 867.0666666666667 128
13 2552.0 1305.7333333333333 256
14 2552.0 1583.8666666666666 256
15 2552.0 1714.2666666666667 256
16 2552.0 2013.8666666666666 256
17 2552.0 2127.3333333333335 256
18 2552.0 2141.866666666667 256
19 2552.0 2176.4 256
20 2732.0 2283.866666666667 256
21 2732.0 2358.8 256
22 2732.0 2417.4666666666667 256
23 2732.0 2251.733333333333 256
24 2732.0 2298.4 256
25 2732.0 2231.2 256
26 2732.0 2061.3333333333335 256
27 2732.0 2301.6 256
28 2732.0 2207.733333333333 256
29 2732.0 2067.6 256
30 2732.0 2310.4 256
31 2732.0 2352.0 256
32 2732.0 2464.9333333333334 256
33 2732.0 2078.4 256
34 2732.0 2390.266666666667 256
35 2732.0 2233.6 256
36 2732.0 2168.5333333333333 256
37 2732.0 2450.9333333333334 256
38 2732.0 2337.4666666666667 256
39 2732.0 2444.9333333333334 256
40 2732.0 2503.0666666666666 256
41 2732.0 2141.866666666667 256
42 2732.0 2027.7333333333333 256
43 2732.0 2101.733333333333 256
44 2732.0 2148.6666666666665 256
45 2732.0 2183.6 256
46 2732.0 2097.0666666666666 256
47 2732.0 1977.6 256
48 2732.0 2221.866666666667 256
49 2732.0 2205.3333333333335 256
50 2732.0 2347.4666666666667 256
51 2732.0 2234.266666666667 256
52 2732.0 2129.0666666666666 256
53 2732.0 2258.8 256
54 2732.0 2248.133333333333 256
55 2732.0 2090.4 256
56 2732.0 2373.2 256
57 2732.0 2394.266666666667 256
58 2732.0 2487.6 256
59 2732.0 2537.733333333333 256
60 2732.0 2354.133333333333 256
61 2732.0 2471.2 256
62 3152.0 2511.2 256
63 3152.0 2435.3333333333335 256
64 3152.0 2635.4666666666667 256
65 3152.0 2761.733333333333 256
66 3152.0 2781.0666666666666 256
67 3152.0 2539.866666666667 256
68 3152.0 2505.2 256
69 3152.0 2204.0 256
70 3152.0 2282.133333333333 256
71 3152.0 2535.0666666666666 256
72 3152.0 2778.266666666667 256
73 3152.0 2729.0666666666666 256
74 3152.0 2780.8 256
75 3152.0 2706.8 256
76 3152.0 2731.6 256
77 3152.0 2752.6666666666665 256
78 3152.0 2910.8 256
79 3152.0 2995.3333333333335 256
80 3152.0 2804.133333333333 256
81 3152.0 2835.866666666667 256
82 3152.0 2920.133333333333 256
83 3152.0 2592.133333333333 256
84 3152.0 2627.2 256
85 3152.0 2736.9333333333334 256
86 3152.0 2846.0 256
87 3152.0 2896.8 256
88 3152.0 2840.5333333333333 256
89 3152.0 2792.133333333333 256
90 3152.0 2726.8 256
91 3152.0 2513.4666666666667 256
92 3152.0 2616.266666666667 256
93 3292.0 2851.2 256
94 3292.0 2833.0666666666666 256
95 3292.0 2975.0666666666666 256
96 3292.0 2970.4 256
97 3292.0 2779.4666666666667 256
98 3292.0 2438.5333333333333 256
99 3292.0 2504.0 256
100 3292.0 2986.6666666666665 256
101 3292.0 2890.9333333333334 256
102 3292.0 2956.8 256
103 3292.0 2847.866666666667 256
104 3292.0 2843.733333333333 256
105 3292.0 2806.5333333333333 256
